presyn_cell_group,postsyn_cell_group,synapses,synapse_fraction
PRC,PRC,21,0.75
PRC,cPRC,0,0
PRC,SNnuchPDF,0,0
PRC,SNnuchNS,0,0
PRC,SNnuchBx,0,0
PRC,SNgolden,0,0
PRC,SNhorn,0,0
PRC,SNhook,0,0
PRC,SNlasso,0,0
PRC,SNMIP.vc,0,0
PRC,SNmus,0,
PRC,SNantlerPDF,0,0
PRC,SNPDF.dcl1,0,0
PRC,SN.DLSO1.2,0,0
PRC,SN.DLSO,0,0
PRC,SN.DLSO1.2.1,0,0
PRC,SN.DLSO2l,0,0
PRC,SNMB2,0,0
PRC,eyespot.PRCR3,0,0
PRC,eyespot.PRCR1,0,0
PRC,MS1,0,0
PRC,MS2,0,0
PRC,MS3,0,0
PRC,SN.ASTC,0,0
PRC,SN.DLSO3.PDF,0,0
PRC,SN.DLSO3,0,0
PRC,SN.IRP2.burs,0,0
PRC,SN.IRP2.FMRF,0,0
PRC,SN.MIP4,0,0
PRC,SN.MIP1,0,0
PRC,SN.WLD,0,0
PRC,SN.DSO17,0,0
PRC,SNbicil,0,0
PRC,SNasym,0,0
PRC,SN47Ach,0,0
PRC,dsoNPB1unp,0,0
PRC,antPUc,0,0
PRC,hPUc1,0,0
PRC,hPUc,0,0
PRC,dsoPUc1unp,0,0
PRC,hPU2l.asymPDF,0,0
PRC,hCR2,0,0
PRC,SN.DLSO1.0,0,0
PRC,SN.NS1,0,0
PRC,SN.NS3,0,0
PRC,SN.NS4,0,0
PRC,SN.NS15,0,0
PRC,SNaant,0,0
PRC,SN.NS22,0,0
PRC,SN.NS5,0,0
PRC,SN.NS17,0,0
PRC,SN.YF5cil,0,0
PRC,SN.NS19,0,0
PRC,SN.NS20,0,0
PRC,SN.NS6,0,
PRC,SN.NS29,0,0
PRC,SN.NS27,0,0
PRC,SN.NS18,0,0
PRC,SN.NS16,0,0
PRC,SNadNS22,0,0
PRC,SNblunt,0,0
PRC,SN.DLSO1.3,0,0
PRC,SNbronto,0,0
PRC,SN.DLSO1.1NP,0,0
PRC,SN.DLSO1.1,0,0
PRC,SNtorii,0,0
PRC,SNtrpa,0,0
PRC,IN1,307,0.7415458937198067
PRC,INton,1,0.03225806451612903
PRC,INpreSer,0,0
PRC,INRGWa,0,0
PRC,INNOS,0,0
PRC,cMNPDF.vcl1,0,0
PRC,cMNATO,0,0
PRC,cMNdc..PDF,0,0
PRC,INlasso,0,0
PRC,INdecussPre,0,0
PRC,INpreMN,0,0
PRC,MC2biax.1,0,0
PRC,INCrossbow,0,0
PRC,INarc1,0,0
PRC,INarc2,0,0
PRC,INsn,0,0
PRC,INrope,0,0
PRC,INMC3,0,0
PRC,INbiax,0,0
PRC,INsplitPUh,0,0
PRC,INdc,0,0
PRC,INfoot,0,0
PRC,INW,0,0
PRC,INmidL,0,0
PRC,INhook,0,0
PRC,INMBtype6,0,0
PRC,INMBtype5,0,0
PRC,INMBtype7,0,0
PRC,INcross,0,0
PRC,INpro,0,0
PRC,INproT2,0,0
PRC,INpear,0,0
PRC,INZ,0,0
PRC,INbigloop,1,0.05555555555555555
PRC,INUturn,0,0
PRC,INdecussfoot,0,0
PRC,INdecusshook,0,0
PRC,INlasso.postSN,0,0
PRC,INR1,8,0.27586206896551724
PRC,INmus,0,0
PRC,INdescLuqinPDF,0,0
PRC,INsqNSasym,0,0
PRC,INhorn,0,0
PRC,INMBPDF,0,0
PRC,INMBdescFMRF,0,0
PRC,INDLSO,0,0
PRC,INexsn,0,0
PRC,MBmouth.young.1360479,0,0
PRC,INtorii,0,0
PRC,INUturnMB,0,0
PRC,IN.1301924,0,0
PRC,INMBdesc3,0,0
PRC,INMBdesc2,0,0
PRC,INpara,0,0
PRC,Ser.h1,0,0
PRC,MC,0,0
PRC,MNant,0,0
PRC,MN3,0,0
PRC,MN1,0,0
PRC,MN2,0,0
PRC,MNakro,0,0
PRC,MNgland.head,0,0
PRC,MNheadV,0,0
cPRC,PRC,0,0
cPRC,cPRC,0,0
cPRC,SNnuchPDF,0,0
cPRC,SNnuchNS,1,0.041666666666666664
cPRC,SNnuchBx,0,0
cPRC,SNgolden,0,0
cPRC,SNhorn,0,0
cPRC,SNhook,0,0
cPRC,SNlasso,0,0
cPRC,SNMIP.vc,0,0
cPRC,SNmus,0,
cPRC,SNantlerPDF,0,0
cPRC,SNPDF.dcl1,0,0
cPRC,SN.DLSO1.2,1,0.09090909090909091
cPRC,SN.DLSO,0,0
cPRC,SN.DLSO1.2.1,0,0
cPRC,SN.DLSO2l,1,0.03333333333333333
cPRC,SNMB2,0,0
cPRC,eyespot.PRCR3,0,0
cPRC,eyespot.PRCR1,0,0
cPRC,MS1,0,0
cPRC,MS2,0,0
cPRC,MS3,0,0
cPRC,SN.ASTC,37,0.7551020408163265
cPRC,SN.DLSO3.PDF,0,0
cPRC,SN.DLSO3,1,0.09090909090909091
cPRC,SN.IRP2.burs,0,0
cPRC,SN.IRP2.FMRF,2,0.2857142857142857
cPRC,SN.MIP4,0,0
cPRC,SN.MIP1,26,0.6341463414634146
cPRC,SN.WLD,1,0.023809523809523808
cPRC,SN.DSO17,0,0
cPRC,SNbicil,0,0
cPRC,SNasym,0,0
cPRC,SN47Ach,0,0
cPRC,dsoNPB1unp,0,0
cPRC,antPUc,0,0
cPRC,hPUc1,0,0
cPRC,hPUc,0,0
cPRC,dsoPUc1unp,0,0
cPRC,hPU2l.asymPDF,0,0
cPRC,hCR2,0,0
cPRC,SN.DLSO1.0,0,0
cPRC,SN.NS1,0,0
cPRC,SN.NS3,0,0
cPRC,SN.NS4,0,0
cPRC,SN.NS15,0,0
cPRC,SNaant,0,0
cPRC,SN.NS22,0,0
cPRC,SN.NS5,4,0.36363636363636365
cPRC,SN.NS17,0,0
cPRC,SN.YF5cil,0,0
cPRC,SN.NS19,66,0.9428571428571428
cPRC,SN.NS20,16,0.8
cPRC,SN.NS6,0,
cPRC,SN.NS29,0,0
cPRC,SN.NS27,0,0
cPRC,SN.NS18,0,0
cPRC,SN.NS16,3,0.2727272727272727
cPRC,SNadNS22,0,0
cPRC,SNblunt,0,0
cPRC,SN.DLSO1.3,0,0
cPRC,SNbronto,0,0
cPRC,SN.DLSO1.1NP,0,0
cPRC,SN.DLSO1.1,0,0
cPRC,SNtorii,0,0
cPRC,SNtrpa,0,0
cPRC,IN1,0,0
cPRC,INton,0,0
cPRC,INpreSer,1,0.125
cPRC,INRGWa,64,0.2229965156794425
cPRC,INNOS,41,0.5942028985507246
cPRC,cMNPDF.vcl1,0,0
cPRC,cMNATO,0,0
cPRC,cMNdc..PDF,0,0
cPRC,INlasso,0,0
cPRC,INdecussPre,0,0
cPRC,INpreMN,0,0
cPRC,MC2biax.1,0,0
cPRC,INCrossbow,0,0
cPRC,INarc1,0,0
cPRC,INarc2,1,0.010869565217391304
cPRC,INsn,0,0
cPRC,INrope,0,0
cPRC,INMC3,0,0
cPRC,INbiax,0,0
cPRC,INsplitPUh,0,0
cPRC,INdc,0,0
cPRC,INfoot,0,0
cPRC,INW,0,0
cPRC,INmidL,0,0
cPRC,INhook,0,0
cPRC,INMBtype6,0,0
cPRC,INMBtype5,0,0
cPRC,INMBtype7,0,0
cPRC,INcross,0,0
cPRC,INpro,0,0
cPRC,INproT2,0,0
cPRC,INpear,0,0
cPRC,INZ,0,0
cPRC,INbigloop,0,0
cPRC,INUturn,0,0
cPRC,INdecussfoot,0,0
cPRC,INdecusshook,0,0
cPRC,INlasso.postSN,0,0
cPRC,INR1,0,0
cPRC,INmus,0,0
cPRC,INdescLuqinPDF,0,0
cPRC,INsqNSasym,0,0
cPRC,INhorn,0,0
cPRC,INMBPDF,0,0
cPRC,INMBdescFMRF,0,0
cPRC,INDLSO,0,0
cPRC,INexsn,0,0
cPRC,MBmouth.young.1360479,0,0
cPRC,INtorii,0,0
cPRC,INUturnMB,0,0
cPRC,IN.1301924,0,0
cPRC,INMBdesc3,0,0
cPRC,INMBdesc2,0,0
cPRC,INpara,0,0
cPRC,Ser.h1,0,0
cPRC,MC,0,0
cPRC,MNant,0,0
cPRC,MN3,0,0
cPRC,MN1,0,0
cPRC,MN2,0,0
cPRC,MNakro,0,0
cPRC,MNgland.head,0,0
cPRC,MNheadV,0,0
SNnuchPDF,PRC,0,0
SNnuchPDF,cPRC,0,0
